Area name,Area code,Area type,Persons Median age ,Persons Under 16,"Persons Working age
",Persons Pensionable age ,"Females Median age 
",Females Under 16,"Females Working age
","Females Pensionable age 
","Males Median age 
",Males Under 16,"Males Working age
 ","Males Pensionable age 
","Sex Ratio 
"
Scotland,S92000003,Country,43.1,"877,999","3,575,567","1,091,934",44.1,"427,105","1,831,152","594,927",42.1,"450,894","1,744,415","497,007",0.94
Aberdeen City,S12000033,Council area,39.4,"36,217","155,707","38,256",39.7,"17,656","78,856","20,791",39.0,"18,561","76,851","17,465",0.96
Aberdeenshire,S12000034,Council area,46.3,"46,549","161,487","56,604",47.1,"22,695","82,200","29,917",45.4,"23,854","79,287","26,687",0.96
Angus,S12000041,Council area,49.0,"17,556","68,458","28,596",49.9,"8,657","35,236","15,398",47.8,"8,899","33,222","13,198",0.93
Argyll and Bute,S12000035,Council area,52.1,"11,882","52,102","23,326",53.6,"5,733","25,626","12,399",50.2,"6,149","26,476","10,927",1.00
City of Edinburgh,S12000036,Council area,37.4,"72,980","376,628","81,762",37.6,"35,347","195,442","45,068",37.3,"37,633","181,186","36,694",0.93
Clackmannanshire,S12000005,Council area,45.6,"8,377","32,564","10,669",46.9,"4,039","16,524","5,814",44.2,"4,338","16,040","4,855",0.96
Dumfries and Galloway,S12000006,Council area,51.8,"21,247","84,982","39,261",52.6,"10,366","43,994","20,865",51.0,"10,881","40,988","18,396",0.93
Dundee City,S12000042,Council area,39.0,"23,282","98,959","26,149",40.0,"11,215","50,421","14,315",37.8,"12,067","48,538","11,834",0.95
East Ayrshire,S12000008,Council area,45.8,"19,980","75,705","25,665",46.7,"9,734","39,327","13,810",44.8,"10,246","36,378","11,855",0.93
East Dunbartonshire,S12000045,Council area,47.1,"19,334","63,806","26,410",48.8,"9,432","32,749","14,757",45.4,"9,902","31,057","11,653",0.92
East Lothian,S12000010,Council area,45.1,"20,024","72,102","24,334",45.9,"9,785","37,771","13,290",44.2,"10,239","34,331","11,044",0.91
East Renfrewshire,S12000011,Council area,44.5,"20,071","58,528","21,241",45.8,"9,707","30,376","11,871",43.2,"10,364","28,152","9,370",0.92
Falkirk,S12000014,Council area,44.2,"26,166","103,437","30,627",45.2,"12,628","52,914","16,778",43.1,"13,538","50,523","13,849",0.95
Fife,S12000047,Council area,45.0,"58,943","234,831","80,216",45.9,"28,579","121,040","43,624",44.0,"30,364","113,791","36,592",0.94
Glasgow City,S12000049,Council area,35.6,"96,671","471,402","86,257",36.0,"47,300","239,499","47,619",35.2,"49,371","231,903","38,638",0.96
