FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Value (GBP),Scottish Welfare Fund Application Type
S12000039,West Dunbartonshire,Council Area,2014/2015,Count,854245,All
S12000039,West Dunbartonshire,Council Area,2013/2014,Count,792077,All
S12000039,West Dunbartonshire,Council Area,2015/2016,Count,791248,All
S12000039,West Dunbartonshire,Council Area,2018/2019,Count,548081,Community Care Grant
S12000039,West Dunbartonshire,Council Area,2019/2020,Count,829104,All
S12000039,West Dunbartonshire,Council Area,2019/2020,Count,535342,Community Care Grant
S12000039,West Dunbartonshire,Council Area,2022/2023,Count,361465,Crisis Grant
S12000039,West Dunbartonshire,Council Area,2018/2019,Count,265932,Crisis Grant
S12000039,West Dunbartonshire,Council Area,2016/2017,Count,635508,Community Care Grant
S12000039,West Dunbartonshire,Council Area,2017/2018,Count,837432,All
S12000039,West Dunbartonshire,Council Area,2016/2017,Count,262774,Crisis Grant
S12000039,West Dunbartonshire,Council Area,2016/2017,Count,898282,All
S12000039,West Dunbartonshire,Council Area,2022/2023,Count,920040,All
S12000039,West Dunbartonshire,Council Area,2018/2019,Count,814013,All
S12000039,West Dunbartonshire,Council Area,2017/2018,Count,556965,Community Care Grant
S12000039,West Dunbartonshire,Council Area,2017/2018,Count,280466,Crisis Grant
S12000039,West Dunbartonshire,Council Area,2021/2022,Count,559642,Community Care Grant
S12000039,West Dunbartonshire,Council Area,2015/2016,Count,228354,Crisis Grant
S12000039,West Dunbartonshire,Council Area,2014/2015,Count,236849,Crisis Grant
S12000039,West Dunbartonshire,Council Area,2015/2016,Count,562894,Community Care Grant
S12000039,West Dunbartonshire,Council Area,2020/2021,Count,535336,Crisis Grant
S12000039,West Dunbartonshire,Council Area,2021/2022,Count,1049015,All
S12000039,West Dunbartonshire,Council Area,2022/2023,Count,558575,Community Care Grant
S12000039,West Dunbartonshire,Council Area,2021/2022,Count,489372,Crisis Grant
S12000039,West Dunbartonshire,Council Area,2013/2014,Count,251620,Crisis Grant
S12000039,West Dunbartonshire,Council Area,2013/2014,Count,540458,Community Care Grant
S12000039,West Dunbartonshire,Council Area,2020/2021,Count,1267000,All
S12000039,West Dunbartonshire,Council Area,2019/2020,Count,293763,Crisis Grant
S12000039,West Dunbartonshire,Council Area,2020/2021,Count,731664,Community Care Grant
S12000039,West Dunbartonshire,Council Area,2014/2015,Count,617396,Community Care Grant
S12000040,West Lothian,Council Area,2014/2015,Count,172975,Crisis Grant
S12000040,West Lothian,Council Area,2013/2014,Count,207346,Crisis Grant
S12000040,West Lothian,Council Area,2014/2015,Count,909921,Community Care Grant
S12000040,West Lothian,Council Area,2015/2016,Count,882123,Community Care Grant
S12000040,West Lothian,Council Area,2013/2014,Count,1010287,All
S12000040,West Lothian,Council Area,2014/2015,Count,1082896,All
S12000040,West Lothian,Council Area,2015/2016,Count,203470,Crisis Grant
S12000040,West Lothian,Council Area,2016/2017,Count,810107,Community Care Grant
S12000040,West Lothian,Council Area,2015/2016,Count,1085593,All
S12000040,West Lothian,Council Area,2020/2021,Count,2119572,All
S12000040,West Lothian,Council Area,2019/2020,Count,372776,Crisis Grant
S12000040,West Lothian,Council Area,2020/2021,Count,1099558,Community Care Grant
S12000040,West Lothian,Council Area,2019/2020,Count,1213181,All
S12000040,West Lothian,Council Area,2019/2020,Count,840404,Community Care Grant
S12000040,West Lothian,Council Area,2021/2022,Count,2251900,All
S12000040,West Lothian,Council Area,2021/2022,Count,1056965,Crisis Grant
S12000040,West Lothian,Council Area,2022/2023,Count,1336298,Community Care Grant
S12000040,West Lothian,Council Area,2020/2021,Count,1020013,Crisis Grant
S12000040,West Lothian,Council Area,2021/2022,Count,1194935,Community Care Grant
S12000040,West Lothian,Council Area,2017/2018,Count,807651,Community Care Grant
S12000040,West Lothian,Council Area,2017/2018,Count,1061447,All
S12000040,West Lothian,Council Area,2017/2018,Count,253797,Crisis Grant
S12000040,West Lothian,Council Area,2016/2017,Count,245162,Crisis Grant
S12000040,West Lothian,Council Area,2016/2017,Count,1055269,All
S12000040,West Lothian,Council Area,2022/2023,Count,1142516,Crisis Grant
S12000040,West Lothian,Council Area,2018/2019,Count,683971,Community Care Grant
S12000040,West Lothian,Council Area,2018/2019,Count,346617,Crisis Grant
S12000040,West Lothian,Council Area,2022/2023,Count,2478814,All
S12000040,West Lothian,Council Area,2018/2019,Count,1030588,All
S12000040,West Lothian,Council Area,2013/2014,Count,802941,Community Care Grant
S92000003,Scotland,Country,2014/2015,Count,28152300,Community Care Grant
S92000003,Scotland,Country,2015/2016,Count,25332401,Community Care Grant
S92000003,Scotland,Country,2013/2014,Count,22886051,Community Care Grant
S92000003,Scotland,Country,2018/2019,Count,10435350,Crisis Grant
S92000003,Scotland,Country,2016/2017,Count,25270234,Community Care Grant
S92000003,Scotland,Country,2015/2016,Count,33226822,All
S92000003,Scotland,Country,2019/2020,Count,12979820,Crisis Grant
S92000003,Scotland,Country,2019/2020,Count,37703724,All
S92000003,Scotland,Country,2019/2020,Count,24723904,Community Care Grant
S92000003,Scotland,Country,2017/2018,Count,9126727,Crisis Grant
S92000003,Scotland,Country,2016/2017,Count,34514386,All
S92000003,Scotland,Country,2017/2018,Count,32863289,All
